name,description,region,province,city,lat,lon,type,source,url,topic
Duomo di Messina,"Labasilica cattedrale di Santa Maria Assuntaoduomo di Messina, èchiesa madredell'arcidiocesi di Messina-Lipari-Santa Lucia del Mela. Sorge nel centro storico diMessina, prospetta con la facciata ed il campanile sull'ampia piazza del Duomo.[1]Il campanileospita l'orologio astronomicopiù grande e complesso del mondo.",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Duomo_di_Messina,generale
Duomo di Monreale,"Ilduomo di Monreale, altresì noto comecattedrale di Santa Maria Nuova, è ilprincipale luogo di cultocattolicodiMonreale, nellacittà metropolitana di Palermo,sede arcivescoviledell'arcidiocesi omonima.[1][2][3] Costruita a partire dal1172per volere diGuglielmo II d'Altavilla,re di Siciliadal1166al1189, è famosa per i ricchi mosaici bizantini che ne decorano l'interno. Nell'agosto del1926papa Pio XIl'ha elevata alla dignità dibasilica minore.[4]Dal 3 luglio2015fa parte delPatrimonio dell'umanità(UNESCO) nell'ambito dell'Itinerario arabo-normanno di Palermo e le cattedrali di Cefalù e Monreale.",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Duomo_di_Monreale,arte
Cattedrale di Nicosia,"Lacattedrale di San Nicolòè ilprincipale luogo di cultodel comune diNicosia, inSicilia, e sede delladiocesi di Nicosia. Primitivo tempio:Chiesa di San Nicolò ilPetit, detta anchechiesa di San Nicolò ilPiccoloo delCastello.[1] La cattedrale di Nicosia, dedicata aSan Nicola di Bari, è stata eretta nel XII secolo, sotto il regno diFederico II d'Aragona, in epoca prossima al 1302, e sin dalle origini ha avuto la prerogativa dichiesa madredella città e di basilica regnantePietro II d'Aragona.[2]La chiesa è divenuta funzionale, anche se non ultimata, nel 1340, come si desume dall'epigrafe posta sull'architrave della cosiddettaPorta del Monte, a sinistra del portale principale. Nel 1388 è stata ufficialmente riconosciuta come parrocchia dall'arcivescovo di Messina, alla cuiarcidiocesiNicosia apparteneva.",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Cattedrale_di_Nicosia,arte
Cattedrale di Noto,"Lacattedrale di San Nicolòè illuogo di cultocattolicopiù importante della città diNoto, nonché sede vescovile dell'omonima diocesi, inSicilia. È ubicata sulla sommità di un'ampia scalinata ed è dedicata appunto asan Nicolò. La costruzione del tempio iniziò nel1694, e fu completata nel1703, anno in cui fu aperta al culto con la solenne dedicazione. Nel corso dei secoli, tuttavia, l'interno ha subito alcuni rimaneggiamenti, che le hanno conferito l'aspetto attuale solamente alla fine delXIX secolo, con la costruzione di una nuova cupola, opera del netino Cassone.",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Cattedrale_di_Noto,generale
Cattedrale di Palermo,"LaBasilica Cattedrale Metropolitana Primaziale della Santa Vergine Maria Assunta, nota semplicemente comeDuomooppureCattedrale di Palermo, è il principaleluogo di cultocattolicodella città diPalermoesede arcivescoviledell'omonima arcidiocesi metropolitana.[1][2][3] Dal 3 luglio2015fa parte delPatrimonio dell'umanitànell'ambito del sito serialePalermo arabo-normanna e le cattedrali di Cefalù e Monreale.",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Cattedrale_di_Palermo,arte
Basilica cattedrale di San Bartolomeo,"Labasilica cattedrale di San Bartolomeoè ilprincipale luogo di cultodiPatti,comune italianodellacittà metropolitana di Messina,cattedraledelladiocesi di Patti, nel vicariato foraneo di Patti sotto il patrocinio disan Bartolomeo apostolo, comprendente le parrocchie di Patti,Gioiosa Marea,Librizzi,Montagnareale,OliverieSan Piero Patti.Santa Febroniavergine e martire,patronadella città di Patti. Arcipretura diPatti, parrocchia di San Bartolomeo.[1]La chiesa sorge accanto al palazzo vescovile e seminario, il prospetto principale si affaccia aPonentesu via Cattedrale ed è la più grande e antica delle chiese di Patti. Ilconte Ruggerofonda il monastero del ""Santissimo Salvatore"" ed erige la chiesa primitiva dedicandola asan Bartolomeo.",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Basilica_cattedrale_di_San_Bartolomeo,generale
Cattedrale di Piana degli Albanesi,"Lacattedrale di San Demetrio Megalomartire(kryeklisha e Shën Dhimitrit Dëshmor i Mathinarbëresh), nota comeklisha e Shën Mitrit, detta ancheklisha e madhe[2](la chiesa grande), è la principalechiesaelevata alla dignità dicattedraledell'eparchia di Piana degli Albanesi, circoscrizione dellaChiesa Italo-AlbaneseinSicilia.",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Cattedrale_di_Piana_degli_Albanesi,generale
Cattedrale di Piazza Armerina,"Labasilica cattedrale di Maria Santissima delle VittoriediPiazza Armerinaè lacattedraledelladiocesi di Piazza Armerina, inSiciliaed è dedicata aMaria Santissima delle Vittorie. Nel febbraio del1962papa Giovanni XXIIIla elevò alla dignità dibasilica minore.[1][2] Secondo la tradizione, non confermata da alcuna fonte diretta o indiretta, durante la campagna diconquista e latinizzazionedell'isola, ilGran Conte Ruggeroricevette daPapa Niccolò IIil vessillo decorato con l'immagine dellaVergine Maria. Nella tradizione bizantina l'icona della Vergine con il Bambino era associata ai trionfi dell'imperatore. L'insegna campeggiava tra le truppe e le milizie della coalizione cristiana, sotto i suoiauspicierano riposte e serbate le speranze di un felice esito della campagna e di una totale, definitiva, prospera liberazione dell'isola daldominio saraceno.",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Cattedrale_di_Piazza_Armerina,generale
Cattedrale di San Giovanni Battista (Ragusa),"Lacattedrale di San Giovanni Battistaè il principale luogo di culto di Ragusa superiore.[1] La chiesa, prima delterremoto del 1693, sorgeva nella parte ovest dell'antico abitato diRagusasotto le mura delcastello medievale, dove oggi si trova la chiesetta di Santa Agnese, edificata sulle sue rovine verso la fine delXVIII secolo.",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Cattedrale_di_San_Giovanni_Battista_(Ragusa),arte
Duomo di Siracusa,"Ilduomo di Siracusa, ufficialmenteCattedrale Metropolitana della Natività di Maria Santissima, è il principale luogo di culto cattolico aSiracusa. Sorge sulla parte elevata dell'isola di Ortigia, incorporando l'Athenaion, instile dorico, il principale tempio sacro dellapolisdiSyrakousai, dedicato adAtena.",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Duomo_di_Siracusa,arte
Cattedrale di San Lorenzo (Trapani),"Ilduomo di Trapani, che risponde al nome ufficiale diprotobasilica cattedrale di San Lorenzo, è ilduomocattolicodiTrapani, inSicilia,chiesa madredelladiocesi omonima. È situata nelcentro storicodella città, lungo il corso Vittorio Emanuele.[1][2]Ha la dignità dibasilica minore.[3] L'antico edificio sorgeva nel primitivo quartiere «Palazzo» inserito nelle porzione di territorio ove era insediato il «Consolato della Nazione Genovese», denominato «Cappella di San Giorgio» del1102, quest'ultimo santo patrono della Repubblica marinara dei Genovesi. La comunità genovese è presente a Trapani dedita al commercio e alle attività marinare fin dall'XI secolo, alleata delgran Conte Ruggeronell'opera di riconquista dell'isola per sottrarla aldominio arabo.",,,,,,Cattedrale,Wikipedia,https://it.wikipedia.org/wiki/Cattedrale_di_San_Lorenzo_(Trapani),generale
